method,setting,density_percent,HR_mean_std,NDCG_mean_std
MLP,1+5@1,12.54,0.493490 ± 0.045610,0.493490 ± 0.045610
MLP,1+10@1,6.83,0.315104 ± 0.052018,0.315104 ± 0.052018
MLP,1+10@3,6.83,0.738281 ± 0.013532,0.559596 ± 0.029196
MLP,1+100@3,0.92,0.015625 ± 0.003906,0.010447 ± 0.003653
MLP,3+100@10,0.98,0.049913 ± 0.006554,0.027799 ± 0.002201
MLP,3+1000@10,0.16,0.000000 ± 0.000000,0.000000 ± 0.000000
MLP,10+1000@100,0.18,0.008825 ± 0.006699,0.003385 ± 0.002617
MLP,10+10000@100,0.02,0.000000 ± 0.000000,0.000000 ± 0.000000
NGCF,1+5@1,12.54,0.555990 ± 0.033679,0.555990 ± 0.033679
NGCF,1+10@1,6.83,0.483073 ± 0.054734,0.483073 ± 0.054734
NGCF,1+10@3,6.83,0.639323 ± 0.031574,0.572279 ± 0.040482
NGCF,1+100@3,0.92,0.457031 ± 0.034720,0.422587 ± 0.046335
NGCF,3+100@10,0.98,0.419922 ± 0.035445,0.370503 ± 0.039371
NGCF,3+1000@10,0.16,0.351563 ± 0.022525,0.329084 ± 0.035879
NGCF,10+1000@100,0.18,0.412164 ± 0.019877,0.342890 ± 0.019493
NGCF,10+10000@100,0.02,0.368599 ± 0.024221,0.320254 ± 0.011094
LightGCN,1+5@1,12.54,0.539062 ± 0.035801,0.539062 ± 0.035801
LightGCN,1+10@1,6.83,0.459635 ± 0.022888,0.459635 ± 0.022888
LightGCN,1+10@3,6.83,0.686198 ± 0.002255,0.592522 ± 0.007833
LightGCN,1+100@3,0.92,0.430990 ± 0.011934,0.366115 ± 0.014432
LightGCN,3+100@10,0.98,0.365234 ± 0.015310,0.313924 ± 0.015723
LightGCN,3+1000@10,0.16,0.245226 ± 0.011207,0.214958 ± 0.008742
LightGCN,10+1000@100,0.18,0.295826 ± 0.030324,0.255555 ± 0.010508
LightGCN,10+10000@100,0.02,0.192992 ± 0.024279,0.185304 ± 0.010804
RevFilter,1+5@1,12.54,0.947917 ± 0.016263,0.947917 ± 0.016263
RevFilter,1+10@1,6.83,0.947917 ± 0.011934,0.947917 ± 0.011934
RevFilter,1+10@3,6.83,0.977865 ± 0.004511,0.942412 ± 0.023980
RevFilter,1+100@3,0.92,0.927083 ± 0.014789,0.820757 ± 0.043530
RevFilter,3+100@10,0.98,0.882596 ± 0.017714,0.629811 ± 0.019578
RevFilter,3+1000@10,0.16,0.738498 ± 0.012289,0.529099 ± 0.048445
RevFilter,10+1000@100,0.18,0.856767 ± 0.007163,0.456908 ± 0.052079
RevFilter,10+10000@100,0.02,0.664565 ± 0.026500,0.378961 ± 0.090496
SAIF,1+5@1,12.54,0.966146 ± 0.009021,0.966146 ± 0.009021
SAIF,1+10@1,6.83,0.959635 ± 0.008132,0.959635 ± 0.008132
SAIF,1+10@3,6.83,0.980469 ± 0.007813,0.962797 ± 0.021044
SAIF,1+100@3,0.92,0.932292 ± 0.020046,0.853791 ± 0.067366
SAIF,3+100@10,0.98,0.895616 ± 0.024135,0.657062 ± 0.034913
SAIF,3+1000@10,0.16,0.739800 ± 0.017679,0.545265 ± 0.025325
SAIF,10+1000@100,0.18,0.871550 ± 0.011165,0.557067 ± 0.033228
SAIF,10+10000@100,0.02,0.677819 ± 0.084795,0.463584 ± 0.057626
