method,ckpt,setting,density,HR,NDCG,log_path
geometry,0,10+10000@100,0.0001,0.40134549140930176,0.19063006341457367,logs-balanced-receiver-control\geometry_ckpt0_10p10000at100.log
geometry,0,10+1000@100,0.0009,0.7283481359481812,0.39160051941871643,logs-balanced-receiver-control\geometry_ckpt0_10p1000at100.log
geometry,1,10+10000@100,0.0001,0.7047091722488403,0.37804698944091797,logs-balanced-receiver-control\geometry_ckpt1_10p10000at100.log
geometry,1,10+1000@100,0.0009,0.8042053580284119,0.45878392457962036,logs-balanced-receiver-control\geometry_ckpt1_10p1000at100.log
geometry,2,10+10000@100,0.0001,0.3555772602558136,0.15246321260929108,logs-balanced-receiver-control\geometry_ckpt2_10p10000at100.log
geometry,2,10+1000@100,0.0009,0.6923410296440125,0.31334805488586426,logs-balanced-receiver-control\geometry_ckpt2_10p1000at100.log
official,0,10+10000@100,0.0001,0.5574761033058167,0.32058414816856384,logs-balanced-receiver-control\official_ckpt0_10p10000at100.log
official,0,10+1000@100,0.0009,0.7394160032272339,0.3736419677734375,logs-balanced-receiver-control\official_ckpt0_10p1000at100.log
official,1,10+10000@100,0.0001,0.46944448351860046,0.19769547879695892,logs-balanced-receiver-control\official_ckpt1_10p10000at100.log
official,1,10+1000@100,0.0009,0.6614924669265747,0.2984602451324463,logs-balanced-receiver-control\official_ckpt1_10p1000at100.log
official,2,10+10000@100,0.0001,0.5581271648406982,0.31942635774612427,logs-balanced-receiver-control\official_ckpt2_10p10000at100.log
official,2,10+1000@100,0.0009,0.7217075824737549,0.38608184456825256,logs-balanced-receiver-control\official_ckpt2_10p1000at100.log
saif,0,10+10000@100,0.0001,0.6144530773162842,0.38309648633003235,logs-balanced-receiver-control\saif_ckpt0_10p10000at100.log
saif,0,10+1000@100,0.0009,0.7809740304946899,0.4591919183731079,logs-balanced-receiver-control\saif_ckpt0_10p1000at100.log
saif,1,10+10000@100,0.0001,0.5629014372825623,0.3956136107444763,logs-balanced-receiver-control\saif_ckpt1_10p10000at100.log
saif,1,10+1000@100,0.0009,0.763526201248169,0.4828149080276489,logs-balanced-receiver-control\saif_ckpt1_10p1000at100.log
saif,2,10+10000@100,0.0001,0.4481445550918579,0.27904796600341797,logs-balanced-receiver-control\saif_ckpt2_10p10000at100.log
saif,2,10+1000@100,0.0009,0.7019221186637878,0.3840268850326538,logs-balanced-receiver-control\saif_ckpt2_10p1000at100.log
