variant,pooling,ckpt,setting,density,HR,NDCG,log_path
embedding,max,0,10+10000@100,0.0002,0.6920092105865479,0.4479519724845886,logs-pooling-sensitivity\embedding_max_ckpt0_10p10000at100.log
embedding,max,0,10+1000@100,0.0018,0.8590495586395264,0.4601256251335144,logs-pooling-sensitivity\embedding_max_ckpt0_10p1000at100.log
embedding,max,1,10+10000@100,0.0002,0.6391229033470154,0.27649688720703125,logs-pooling-sensitivity\embedding_max_ckpt1_10p10000at100.log
embedding,max,1,10+1000@100,0.0018,0.8487412333488464,0.4032949209213257,logs-pooling-sensitivity\embedding_max_ckpt1_10p1000at100.log
embedding,max,2,10+10000@100,0.0002,0.6625620126724243,0.4124343991279602,logs-pooling-sensitivity\embedding_max_ckpt2_10p10000at100.log
embedding,max,2,10+1000@100,0.0018,0.8625109791755676,0.5073034763336182,logs-pooling-sensitivity\embedding_max_ckpt2_10p1000at100.log
embedding,mean,0,10+10000@100,0.0002,0.251728355884552,0.26282402873039246,logs-pooling-sensitivity\embedding_mean_ckpt0_10p10000at100.log
embedding,mean,0,10+1000@100,0.0018,0.7953559160232544,0.5599004030227661,logs-pooling-sensitivity\embedding_mean_ckpt0_10p1000at100.log
embedding,mean,1,10+10000@100,0.0002,0.5324233770370483,0.24454326927661896,logs-pooling-sensitivity\embedding_mean_ckpt1_10p10000at100.log
embedding,mean,1,10+1000@100,0.0018,0.8850802779197693,0.4450385868549347,logs-pooling-sensitivity\embedding_mean_ckpt1_10p1000at100.log
embedding,mean,2,10+10000@100,0.0002,0.4895522892475128,0.3882213234901428,logs-pooling-sensitivity\embedding_mean_ckpt2_10p10000at100.log
embedding,mean,2,10+1000@100,0.0018,0.879231870174408,0.565061628818512,logs-pooling-sensitivity\embedding_mean_ckpt2_10p1000at100.log
embedding,sum,0,10+10000@100,0.0002,0.11029110103845596,0.09230297803878784,logs-pooling-sensitivity\embedding_sum_ckpt0_10p10000at100.log
embedding,sum,0,10+1000@100,0.0018,0.8558269143104553,0.5848074555397034,logs-pooling-sensitivity\embedding_sum_ckpt0_10p1000at100.log
embedding,sum,1,10+10000@100,0.0002,0.08825954794883728,0.0799643024802208,logs-pooling-sensitivity\embedding_sum_ckpt1_10p10000at100.log
embedding,sum,1,10+1000@100,0.0018,0.8165798187255859,0.5871362686157227,logs-pooling-sensitivity\embedding_sum_ckpt1_10p1000at100.log
embedding,sum,2,10+10000@100,0.0002,0.12659969925880432,0.10100167244672775,logs-pooling-sensitivity\embedding_sum_ckpt2_10p10000at100.log
embedding,sum,2,10+1000@100,0.0018,0.8609049916267395,0.5515495538711548,logs-pooling-sensitivity\embedding_sum_ckpt2_10p1000at100.log
saif,max,0,10+10000@100,0.0002,0.7501255869865417,0.5231184363365173,logs-pooling-sensitivity\saif_max_ckpt0_10p10000at100.log
saif,max,0,10+1000@100,0.0018,0.8686197996139526,0.578662097454071,logs-pooling-sensitivity\saif_max_ckpt0_10p1000at100.log
saif,max,1,10+10000@100,0.0002,0.6988404393196106,0.4595562517642975,logs-pooling-sensitivity\saif_max_ckpt1_10p10000at100.log
saif,max,1,10+1000@100,0.0018,0.8838866949081421,0.5737345814704895,logs-pooling-sensitivity\saif_max_ckpt1_10p1000at100.log
saif,max,2,10+10000@100,0.0002,0.5844897031784058,0.4080776870250702,logs-pooling-sensitivity\saif_max_ckpt2_10p10000at100.log
saif,max,2,10+1000@100,0.0018,0.862142026424408,0.5188043713569641,logs-pooling-sensitivity\saif_max_ckpt2_10p1000at100.log
saif,mean,0,10+10000@100,0.0002,0.4026429057121277,0.32320794463157654,logs-pooling-sensitivity\saif_mean_ckpt0_10p10000at100.log
saif,mean,0,10+1000@100,0.0018,0.843066394329071,0.5320954322814941,logs-pooling-sensitivity\saif_mean_ckpt0_10p1000at100.log
saif,mean,1,10+10000@100,0.0002,0.45444101095199585,0.23357756435871124,logs-pooling-sensitivity\saif_mean_ckpt1_10p10000at100.log
saif,mean,1,10+1000@100,0.0018,0.819911003112793,0.4378684163093567,logs-pooling-sensitivity\saif_mean_ckpt1_10p1000at100.log
saif,mean,2,10+10000@100,0.0002,0.4297650158405304,0.3473752439022064,logs-pooling-sensitivity\saif_mean_ckpt2_10p10000at100.log
saif,mean,2,10+1000@100,0.0018,0.846104621887207,0.5407525897026062,logs-pooling-sensitivity\saif_mean_ckpt2_10p1000at100.log
saif,sum,0,10+10000@100,0.0002,0.07326699048280716,0.06399034708738327,logs-pooling-sensitivity\saif_sum_ckpt0_10p10000at100.log
saif,sum,0,10+1000@100,0.0018,0.8021050095558167,0.5622110366821289,logs-pooling-sensitivity\saif_sum_ckpt0_10p1000at100.log
saif,sum,1,10+10000@100,0.0002,0.18417969346046448,0.10029982775449753,logs-pooling-sensitivity\saif_sum_ckpt1_10p10000at100.log
saif,sum,1,10+1000@100,0.0018,0.8782551884651184,0.44110697507858276,logs-pooling-sensitivity\saif_sum_ckpt1_10p1000at100.log
saif,sum,2,10+10000@100,0.0002,0.09480716288089752,0.08887112885713577,logs-pooling-sensitivity\saif_sum_ckpt2_10p10000at100.log
saif,sum,2,10+1000@100,0.0018,0.8254773616790771,0.5505406856536865,logs-pooling-sensitivity\saif_sum_ckpt2_10p1000at100.log
